Route_start|Route_end|Reference_time|Interval(days)|Area_size|Max_samples|Duration(s)|Number_of_records
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-04-01 00:00:00|30|0.3|5000|1.33220601082|313
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-06-15 00:00:00|30|0.3|5000|2.17395401001|293
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-08-01 00:00:00|30|0.3|5000|1.37556791306|394
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-10-15 00:00:00|30|0.3|5000|2.53115606308|355
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-12-01 00:00:00|30|0.3|5000|2.09593486786|343
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-02-15 00:00:00|30|0.3|5000|1.93490290642|383
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-04-01 00:00:00|30|0.3|5000|1.16451406479|360
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-06-15 00:00:00|30|0.3|5000|1.79045701027|314
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-08-01 00:00:00|30|0.3|5000|0.997421979904|293
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-10-15 00:00:00|30|0.3|5000|1.87227106094|353
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-12-01 00:00:00|30|0.3|5000|1.72374200821|288
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-02-15 00:00:00|30|0.3|5000|3.40891098976|1431
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-04-01 00:00:00|30|0.3|5000|2.49815177917|1586
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-06-15 00:00:00|30|0.3|5000|3.29833698273|1346
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-08-01 00:00:00|30|0.3|5000|2.26212501526|1457
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-10-15 00:00:00|30|0.3|5000|3.4765329361|1496
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-12-01 00:00:00|30|0.3|5000|3.59111499786|1478
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-02-15 00:00:00|30|0.3|5000|3.32761001587|1277
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-04-01 00:00:00|30|0.3|5000|2.32759308815|1311
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-06-15 00:00:00|30|0.3|5000|3.13338208199|1193
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-08-01 00:00:00|30|0.3|5000|2.08570504189|1173
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-10-15 00:00:00|30|0.3|5000|3.33112978935|1261
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-12-01 00:00:00|30|0.3|5000|3.02265882492|1151
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-02-15 00:00:00|30|0.3|5000|1.28926897049|350
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-04-01 00:00:00|30|0.3|5000|0.833148956299|379
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-06-15 00:00:00|30|0.3|5000|1.3105969429|359
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-08-01 00:00:00|30|0.3|5000|0.787622928619|392
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-10-15 00:00:00|30|0.3|5000|1.29528999329|339
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-12-01 00:00:00|30|0.3|5000|1.24229192734|342
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-02-15 00:00:00|30|0.3|5000|2.38828802109|287
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-04-01 00:00:00|30|0.3|5000|1.4779419899|331
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-06-15 00:00:00|30|0.3|5000|2.27483105659|301
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-08-01 00:00:00|30|0.3|5000|1.27163100243|297
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-10-15 00:00:00|30|0.3|5000|2.31462407112|321
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-12-01 00:00:00|30|0.3|5000|2.24938511848|316
