Route_start|Route_end|Reference_time|Interval(days)|Area_size|Duration(s)|Number_of_records
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-06-15 00:00:00|30|0.3|50.5330138206|6264
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-08-01 00:00:00|30|0.3|25.9604380131|6660
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-10-15 00:00:00|30|0.3|33.378554821|6391
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-12-01 00:00:00|30|0.3|34.8106739521|6432
Times Sq, NYC, USA|Grand Central, NYC, USA|2013-02-15 00:00:00|30|0.3|16.9063589573|7781
Times Sq, NYC, USA|Grand Central, NYC, USA|2013-04-01 00:00:00|30|0.3|28.4872391224|7707
Times Sq, NYC, USA|Grand Central, NYC, USA|2013-06-15 00:00:00|30|0.3|49.8919169903|5994
Times Sq, NYC, USA|Grand Central, NYC, USA|2013-08-01 00:00:00|30|0.3|25.5951189995|6704
Times Sq, NYC, USA|Grand Central, NYC, USA|2013-10-15 00:00:00|30|0.3|32.1271960735|5519
Times Sq, NYC, USA|Grand Central, NYC, USA|2013-12-01 00:00:00|30|0.3|34.3961071968|5990
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-02-15 00:00:00|30|0.3|14.0288689137|279
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-04-01 00:00:00|30|0.3|25.6873397827|313
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-06-15 00:00:00|30|0.3|47.8440079689|293
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-08-01 00:00:00|30|0.3|22.8907520771|394
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-10-15 00:00:00|30|0.3|30.7851159573|355
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-12-01 00:00:00|30|0.3|32.2082760334|343
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-02-15 00:00:00|30|0.3|13.8492219448|383
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-04-01 00:00:00|30|0.3|25.8748090267|360
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-06-15 00:00:00|30|0.3|47.3964130878|314
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-08-01 00:00:00|30|0.3|22.4177100658|293
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-10-15 00:00:00|30|0.3|29.9951410294|353
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-12-01 00:00:00|30|0.3|31.5811491013|288
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-02-15 00:00:00|30|0.3|14.4782438278|1431
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-04-01 00:00:00|30|0.3|26.8652889729|1586
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-06-15 00:00:00|30|0.3|48.0495040417|1346
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-08-01 00:00:00|30|0.3|23.1089749336|1457
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-10-15 00:00:00|30|0.3|30.5999081135|1496
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-12-01 00:00:00|30|0.3|32.9170470238|1478
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-02-15 00:00:00|30|0.3|14.3552701473|1277
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-04-01 00:00:00|30|0.3|26.5474948883|1311
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-06-15 00:00:00|30|0.3|48.3094520569|1193
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-08-01 00:00:00|30|0.3|23.5334858894|1173
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-10-15 00:00:00|30|0.3|30.6167778969|1261
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-12-01 00:00:00|30|0.3|33.5077869892|1151
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-02-15 00:00:00|30|0.3|13.6985988617|350
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-04-01 00:00:00|30|0.3|24.6685919762|379
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-06-15 00:00:00|30|0.3|47.4298300743|359
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-08-01 00:00:00|30|0.3|24.0443120003|392
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-10-15 00:00:00|30|0.3|29.8787260056|339
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-12-01 00:00:00|30|0.3|31.1249041557|342
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-02-15 00:00:00|30|0.3|14.1493210793|287
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-04-01 00:00:00|30|0.3|25.673926115|331
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-06-15 00:00:00|30|0.3|48.2003509998|301
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-08-01 00:00:00|30|0.3|23.5590670109|297
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-10-15 00:00:00|30|0.3|30.4063680172|321
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-12-01 00:00:00|30|0.3|31.8981759548|316
Union Sq, NYC, USA|Harlem, New York, NYC, USA|2013-02-15 00:00:00|30|0.3|13.9878787994|43
Union Sq, NYC, USA|Harlem, New York, NYC, USA|2013-04-01 00:00:00|30|0.3|25.0901401043|53
Union Sq, NYC, USA|Harlem, New York, NYC, USA|2013-06-15 00:00:00|30|0.3|47.0921738148|35
Union Sq, NYC, USA|Harlem, New York, NYC, USA|2013-08-01 00:00:00|30|0.3|22.5880320072|31
Union Sq, NYC, USA|Harlem, New York, NYC, USA|2013-10-15 00:00:00|30|0.3|30.2809729576|46
Union Sq, NYC, USA|Harlem, New York, NYC, USA|2013-12-01 00:00:00|30|0.3|32.3628339767|55
Harlem, New York, NYC, USA|Union Sq, NYC, USA|2013-02-15 00:00:00|30|0.3|0.674524784088|9
